iso,year,ly,v2x_polyarchy,v2x_polyarchy_sd,v2xlg_legcon,v2xlg_legcon_sd,v2x_jucon,v2x_jucon_sd
CHE,1998,10.593894421870559,0.89,0.038000000000000034,0.901,0.062,0.987,0.010000000000000009
CHE,1999,10.623559898027281,0.89,0.038500000000000034,0.901,0.062,0.987,0.010000000000000009
CHE,2000,10.674778033421644,0.889,0.03949999999999998,0.901,0.062,0.987,0.010000000000000009
CHE,2001,10.700964090292702,0.889,0.03949999999999998,0.901,0.062,0.987,0.010000000000000009
CHE,2002,10.712957073567598,0.889,0.03949999999999998,0.901,0.062,0.987,0.010000000000000009
CHE,2003,10.724183248638349,0.888,0.039500000000000035,0.923,0.05149999999999999,0.987,0.010000000000000009
CHE,2004,10.763495652373239,0.886,0.040000000000000036,0.923,0.05149999999999999,0.987,0.010000000000000009
CHE,2005,10.805149856785514,0.886,0.040000000000000036,0.923,0.05149999999999999,0.987,0.010000000000000009
CHE,2006,10.85636022676052,0.886,0.040000000000000036,0.923,0.05149999999999999,0.987,0.010000000000000009
CHE,2007,10.90613100570053,0.888,0.039500000000000035,0.923,0.05149999999999999,0.987,0.010000000000000009
CHE,2008,10.934086557621493,0.895,0.035999999999999976,0.923,0.05149999999999999,0.987,0.010000000000000009
CHE,2009,10.918201807274086,0.895,0.035999999999999976,0.923,0.05149999999999999,0.987,0.010000000000000009
CHE,2010,10.954649998652346,0.895,0.035999999999999976,0.923,0.05149999999999999,0.987,0.010000000000000009
CHE,2011,10.979956476518549,0.897,0.034999999999999976,0.923,0.05149999999999999,0.987,0.010000000000000009
CHE,2012,10.97975197754033,0.907,0.03249999999999997,0.923,0.05149999999999999,0.987,0.010000000000000009
CHE,2013,10.985902706301667,0.907,0.03249999999999997,0.923,0.05149999999999999,0.987,0.010000000000000009
CHE,2014,10.993479458910626,0.907,0.03249999999999997,0.923,0.05149999999999999,0.987,0.010000000000000009
CHE,2015,10.990482621864047,0.903,0.033999999999999975,0.923,0.05149999999999999,0.987,0.010000000000000009
CHE,2016,10.996450580805538,0.902,0.035999999999999976,0.923,0.05149999999999999,0.987,0.010000000000000009
CHE,2017,11.00495314831577,0.902,0.035499999999999976,0.938,0.04149999999999998,0.987,0.010000000000000009
CHE,2018,11.02472088029884,0.902,0.035499999999999976,0.938,0.04149999999999998,0.987,0.010000000000000009
GHA,1960,7.69484807238461,0.349,0.04300000000000001,0.458,0.147,0.747,0.119
GHA,1961,7.701652362642226,0.314,0.03799999999999998,0.499,0.15150000000000002,0.747,0.119
GHA,1962,7.721791776817535,0.296,0.035500000000000004,0.476,0.146,0.665,0.13199999999999995
GHA,1963,7.727535110475448,0.294,0.034,0.476,0.146,0.665,0.13199999999999995
GHA,1964,7.720461694599722,0.288,0.033,0.476,0.146,0.63,0.1385
GHA,1965,7.705262474866325,0.261,0.027499999999999983,0.476,0.146,0.63,0.1385
GHA,1966,7.67693714581808,0.149,0.017,0.214,0.118,0.517,0.14650000000000002
GHA,1967,7.665753431861699,0.141,0.016,0.177,0.12150000000000001,0.489,0.14600000000000002
GHA,1968,7.650168700845001,0.142,0.0155,0.177,0.12150000000000001,0.489,0.14600000000000002
GHA,1969,7.655390644826152,0.249,0.024500000000000008,0.305,0.1315,0.715,0.1265
GHA,1970,7.727535110475448,0.382,0.04349999999999998,0.771,0.11500000000000005,0.743,0.119
GHA,1971,7.773594467360194,0.431,0.05249999999999999,0.771,0.11500000000000005,0.751,0.11649999999999999
GHA,1972,7.711996507047669,0.147,0.0165,0.44,0.15849999999999997,0.55,0.14699999999999996
GHA,1973,7.708410667257367,0.112,0.011999999999999997,0.364,0.1855,0.438,0.148
GHA,1974,7.7488913372555315,0.113,0.012499999999999997,0.364,0.1855,0.438,0.148
GHA,1975,7.59488438721652,0.111,0.011499999999999996,0.364,0.1855,0.438,0.148
GHA,1976,7.537962659768208,0.111,0.011499999999999996,0.364,0.1855,0.438,0.148
GHA,1977,7.540090320145325,0.111,0.011499999999999996,0.364,0.1855,0.438,0.148
GHA,1978,7.60489448081162,0.114,0.012499999999999997,0.364,0.1855,0.438,0.148
GHA,1979,7.564757012905729,0.304,0.03,0.441,0.16599999999999998,0.749,0.11199999999999999
GHA,1980,7.519692404116539,0.539,0.0645,0.64,0.14300000000000002,0.814,0.09600000000000003
GHA,1981,7.506591780070841,0.252,0.016000000000000014,0.495,0.164,0.814,0.09600000000000003
GHA,1982,7.415175109613295,0.109,0.011499999999999996,0.385,0.19,0.453,0.146
GHA,1983,7.304515946460155,0.1,0.010500000000000002,0.385,0.19,0.453,0.146
GHA,1984,7.333023014386481,0.098,0.009500000000000001,0.385,0.19,0.453,0.146
GHA,1985,7.351799869057777,0.099,0.009500000000000001,0.385,0.19,0.453,0.146
GHA,1986,7.362010551259734,0.099,0.009500000000000001,0.385,0.19,0.453,0.146
GHA,1987,7.380879035564116,0.1,0.009500000000000001,0.385,0.19,0.453,0.146
GHA,1988,7.4073177104694174,0.1,0.010500000000000002,0.385,0.19,0.516,0.14150000000000001
GHA,1989,7.429520842786462,0.1,0.010000000000000002,0.385,0.19,0.516,0.14150000000000001
GHA,1990,7.4342573821331355,0.104,0.010500000000000002,0.385,0.19,0.516,0.14150000000000001
GHA,1991,7.463149368074148,0.105,0.011000000000000003,0.385,0.19,0.516,0.14150000000000001
GHA,1992,7.4796385978336195,0.173,0.018500000000000003,0.385,0.19,0.523,0.14250000000000002
GHA,1993,7.4905923258207805,0.445,0.05199999999999999,0.646,0.14150000000000001,0.748,0.11049999999999999
GHA,1994,7.503075550429678,0.479,0.059500000000000025,0.72,0.1285,0.761,0.10599999999999998
GHA,1995,7.526487486422232,0.491,0.061000000000000026,0.72,0.1285,0.761,0.10599999999999998
GHA,1996,7.553776679516602,0.513,0.06249999999999997,0.761,0.11349999999999999,0.823,0.08900000000000002
GHA,1997,7.583202943156965,0.597,0.0665,0.859,0.08249999999999996,0.824,0.08600000000000002
GHA,1998,7.609857047282832,0.597,0.0665,0.859,0.08249999999999996,0.824,0.08600000000000002
GHA,1999,7.633728346230893,0.597,0.0675,0.859,0.08249999999999996,0.824,0.08600000000000002
GHA,2000,7.6498321854009,0.664,0.0675,0.897,0.0635,0.831,0.08450000000000002
GHA,2001,7.670011550941905,0.721,0.0605,0.897,0.0635,0.831,0.08450000000000002
GHA,2002,7.692578908973929,0.731,0.059,0.897,0.0635,0.831,0.08450000000000002
GHA,2003,7.72171082537978,0.731,0.059,0.897,0.0635,0.831,0.08450000000000002
GHA,2004,7.753415670877841,0.734,0.064,0.897,0.0635,0.831,0.08450000000000002
GHA,2005,7.78791615767016,0.73,0.0595,0.897,0.0635,0.845,0.07699999999999996
GHA,2006,7.825627839106056,0.73,0.0595,0.897,0.0635,0.845,0.07699999999999996
GHA,2007,7.845089397503899,0.736,0.064,0.897,0.0635,0.828,0.08500000000000002
GHA,2008,7.910512986352983,0.732,0.0635,0.897,0.0635,0.828,0.08500000000000002
GHA,2009,7.935183332593321,0.755,0.055499999999999994,0.897,0.0635,0.828,0.08500000000000002
GHA,2010,7.988216937055797,0.761,0.055999999999999994,0.897,0.0635,0.854,0.07699999999999996
GHA,2011,8.096512917501594,0.761,0.055999999999999994,0.897,0.0635,0.854,0.07699999999999996
GHA,2012,8.162801353492073,0.771,0.055499999999999994,0.852,0.08049999999999996,0.854,0.07699999999999996
GHA,2013,8.211482916445066,0.75,0.0605,0.827,0.09499999999999997,0.828,0.08450000000000002
GHA,2014,8.228710798793687,0.746,0.0615,0.827,0.09499999999999997,0.833,0.08300000000000002
GHA,2015,8.245121966478605,0.739,0.06,0.864,0.07749999999999996,0.857,0.07599999999999996
GHA,2016,8.263074835802596,0.725,0.059,0.857,0.08549999999999996,0.808,0.09150000000000003
GHA,2017,8.31960921823256,0.739,0.058499999999999996,0.857,0.08549999999999996,0.844,0.08100000000000002
GHA,2018,8.35868191465711,0.735,0.057999999999999996,0.857,0.08549999999999996,0.836,0.08100000000000002
ZAF,1960,8.486115235845377,0.191,0.021999999999999992,0.332,0.1345,0.378,0.129
