uid,year,country,status,fscore,ret
ENG.WA,2019,Poland,active,5.0,-0.0222772277227723
ENG.WA,2020,Poland,active,6.0,-0.1698113207547171
ENG.WA,2021,Poland,active,8.0,0.2727272727272729
ENG.WA,2022,Poland,active,6.0,0.2840909090909092
ENG.WA,2023,Poland,active,8.0,0.06360424028268552
ENG.WA,2024,Poland,active,5.0,0.5673876871880199
GPW.WA,2010,Poland,active,2.0,-0.2183709758751559
GPW.WA,2011,Poland,active,5.0,0.05339375884240671
GPW.WA,2012,Poland,active,6.0,0.02663924523033456
GPW.WA,2013,Poland,active,7.0,0.2816659739318561
GPW.WA,2014,Poland,active,8.0,-0.2691937943379965
GPW.WA,2015,Poland,active,4.0,0.5911887403461447
GPW.WA,2016,Poland,active,5.0,-0.2188171487419243
GPW.WA,2017,Poland,active,7.0,0.2453733773659126
GPW.WA,2018,Poland,active,9.0,0.04612173124659558
GPW.WA,2019,Poland,active,6.0,0.1955646491980729
GPW.WA,2020,Poland,active,7.0,-0.1766926697701702
GPW.WA,2021,Poland,active,6.0,0.1076561533704392
GPW.WA,2022,Poland,active,4.0,0.352016931484348
GPW.WA,2023,Poland,active,8.0,0.1417234814164583
GPW.WA,2024,Poland,active,5.0,0.7269810375194687
JSW.WA,2011,Poland,active,3.0,-0.319577175889236
JSW.WA,2012,Poland,active,5.0,-0.2595156861113423
JSW.WA,2013,Poland,active,4.0,-0.7466290868094702
JSW.WA,2014,Poland,active,4.0,0.429137323943662
JSW.WA,2015,Poland,active,7.0,3.053195184070386
JSW.WA,2016,Poland,active,3.0,0.0255370838571165
JSW.WA,2017,Poland,active,4.0,-0.3764948856421206
JSW.WA,2018,Poland,active,7.0,-0.5688760806916426
JSW.WA,2019,Poland,active,9.0,0.8894849785407724
JSW.WA,2020,Poland,active,5.0,0.8097917839054585
JSW.WA,2021,Poland,active,5.0,-0.308529005524862
JSW.WA,2022,Poland,active,3.0,-0.2766373411534702
JSW.WA,2023,Poland,active,9.0,-0.2802013422818792
JSW.WA,2024,Poland,active,9.0,0.3223102002794598
KGH.WA,2010,Poland,active,3.0,-0.2024710061644551
KGH.WA,2011,Poland,active,7.0,0.02995522112955507
KGH.WA,2012,Poland,active,6.0,0.07588507607344952
KGH.WA,2013,Poland,active,5.0,-0.06932360023222395
KGH.WA,2014,Poland,active,4.0,-0.3714610038577989
KGH.WA,2015,Poland,active,3.0,0.6587764923468775
KGH.WA,2016,Poland,active,7.0,-0.2023605211938754
KGH.WA,2017,Poland,active,7.0,0.1777187179524216
KGH.WA,2018,Poland,active,8.0,-0.1268217293715155
KGH.WA,2019,Poland,active,9.0,1.035670314715313
KGH.WA,2020,Poland,active,4.0,-0.3852132269593939
KGH.WA,2021,Poland,active,4.0,0.0137588978185994
KGH.WA,2022,Poland,active,7.0,0.330813624132559
KGH.WA,2023,Poland,active,9.0,-0.1284651791751183
KGH.WA,2024,Poland,active,4.0,1.618090452261307
KOFOL,2015,Czech Republic,active,3.0,0.03370073856167388
KOFOL,2016,Czech Republic,active,6.0,-0.2472012868050969
KOFOL,2017,Czech Republic,active,8.0,-0.011018223032495
KOFOL,2018,Czech Republic,active,7.0,-0.2172414731010833
KOFOL,2019,Czech Republic,active,7.0,0.301497474473539
KOFOL,2020,Czech Republic,active,5.0,0.09106307704027672
KOFOL,2021,Czech Republic,active,7.0,-0.1259964027938232
KOFOL,2022,Czech Republic,active,6.0,0.299326370020756
KOFOL,2023,Czech Republic,active,6.0,0.8040633430291055
KOFOL,2024,Czech Republic,active,9.0,-0.08899521531100474
LBW.WA,2010,Poland,delisted,3.0,-0.5
LBW.WA,2011,Poland,delisted,6.0,0.8028169014084507
LBW.WA,2012,Poland,delisted,5.0,-0.1374045801526719
LBW.WA,2013,Poland,delisted,9.0,-0.0357142857142857
LBW.WA,2014,Poland,delisted,4.0,-0.2314814814814816
LBW.WA,2015,Poland,delisted,7.0,0.3048780487804879
PANNERGY,2010,Hungary,active,2.0,-0.2765432098765432
PANNERGY,2011,Hungary,active,9.0,-0.4745762711864406
PANNERGY,2012,Hungary,active,9.0,0.05194805194805197
PANNERGY,2013,Hungary,active,3.0,-0.05590062111801242
PANNERGY,2014,Hungary,active,8.0,0.2192691029900333
PANNERGY,2015,Hungary,active,8.0,0.08401084010840099
PANNERGY,2016,Hungary,active,9.0,0.6879795396419437
PANNERGY,2017,Hungary,active,5.0,0.0625
PANNERGY,2018,Hungary,active,8.0,-0.1483516483516484
PANNERGY,2019,Hungary,active,8.0,0.3398692810457515
PANNERGY,2020,Hungary,active,9.0,0.2073170731707317
PANNERGY,2021,Hungary,active,4.0,0.1340725806451613
PANNERGY,2022,Hungary,active,9.0,0.2818181818181817
PANNERGY,2023,Hungary,active,7.0,0.02877697841726623
PANNERGY,2024,Hungary,active,5.0,0.5734265734265733
PLM.WA,2017,Poland,delisted,3.0,-0.129032258064516
PLM.WA,2018,Poland,delisted,4.0,3.5
PLM.WA,2019,Poland,delisted,7.0,-0.4867256637168141
PLM.WA,2020,Poland,delisted,2.0,-0.4512195121951219
PLM.WA,2021,Poland,delisted,7.0,0.6126984126984127
PRIUA,2018,Czech Republic,active,1.0,0.0
PRIUA,2019,Czech Republic,active,6.0,0.2
PRIUA,2020,Czech Republic,active,8.0,-0.16
PRIUA,2021,Czech Republic,active,8.0,1.837301587301587
PRIUA,2022,Czech Republic,active,9.0,0.289655172413793
PRIUA,2023,Czech Republic,active,9.0,-0.1666666666666666
PRIUA,2024,Czech Republic,active,8.0,0.05290322580645168
RICHTER,2010,Hungary,active,3.0,0.03434219128562099
RICHTER,2011,Hungary,active,4.0,-0.08490509224076381
RICHTER,2012,Hungary,active,6.0,0.285614852792667
RICHTER,2013,Hungary,active,6.0,-0.004491021615938284
RICHTER,2014,Hungary,active,7.0,0.3622646842950943
RICHTER,2015,Hungary,active,7.0,0.265510674187873
RICHTER,2016,Hungary,active,7.0,-0.2506355047442775
RICHTER,2017,Hungary,active,7.0,0.02949852507374628
RICHTER,2018,Hungary,active,7.0,0.23719165085389
RICHTER,2019,Hungary,active,7.0,0.2091954022988505
RICHTER,2020,Hungary,active,8.0,-0.1441102756892231
RICHTER,2021,Hungary,active,5.0,0.2132564841498559
RICHTER,2022,Hungary,active,9.0,0.1438805970149253
RICHTER,2023,Hungary,active,5.0,0.03199174406604754
RICHTER,2024,Hungary,active,6.0,0.2672672672672673
TABAK,2010,Czech Republic,active,2.0,0.2628459745621816
TABAK,2011,Czech Republic,active,6.0,0.08984122662085947
TABAK,2012,Czech Republic,active,5.0,-0.005110214620438702
TABAK,2013,Czech Republic,active,5.0,0.1023725126383521
TABAK,2014,Czech Republic,active,5.0,0.2620513925875365
TABAK,2015,Czech Republic,active,5.0,0.2857254435104779
TABAK,2016,Czech Republic,active,5.0,0.09528410934283471
TABAK,2017,Czech Republic,active,5.0,-0.00500017008452569
TABAK,2018,Czech Republic,active,5.0,-0.00746266498873438
TABAK,2019,Czech Republic,active,6.0,0.1623876319710069
TABAK,2020,Czech Republic,active,6.0,0.211202013627551
TABAK,2021,Czech Republic,active,5.0,0.1099797746663873
TABAK,2022,Czech Republic,active,6.0,-0.01426612032001584
TABAK,2023,Czech Republic,active,6.0,0.215295508384983
TABAK,2024,Czech Republic,active,6.0,0.06414662084765177
