uid,tid,ft,y
41,5,12,0.0
41,6,12,0.0
41,7,12,0.0
41,8,12,0.0
41,9,12,0.0
41,10,12,8.55977725982666
41,11,12,9.969301223754883
41,12,12,9.584805488586426
42,1,2,8.753609657287598
42,2,2,9.296104431152344
42,3,2,7.40714168548584
42,4,2,7.752776145935059
42,5,2,9.044961929321289
42,6,2,8.115466117858887
42,7,2,10.223783493041992
42,8,2,10.07601261138916
42,9,2,9.735559463500977
42,10,2,9.372572898864746
42,11,2,8.11051082611084
42,12,2,7.078451156616211
43,1,,7.787562370300293
43,2,,7.963993549346924
43,3,,8.413142204284668
43,4,,7.475770950317383
43,5,,7.714825630187988
43,6,,10.521486282348633
43,7,,0.0
43,8,,0.0
43,9,,0.0
43,10,,10.7250337600708
43,11,,10.038097381591797
43,12,,9.620147705078125
44,1,12,15.636659622192383
44,2,12,15.607965469360352
44,3,12,15.706451416015625
44,4,12,16.056657791137695
44,5,12,16.0981502532959
44,6,12,16.057968139648438
44,7,12,16.056974411010742
44,8,12,16.171886444091797
44,9,12,16.206836700439453
44,10,12,16.37914276123047
44,11,12,16.42105484008789
44,12,12,16.402799606323242
45,1,6,10.60791301727295
45,2,6,7.862854480743408
45,3,6,5.47808313369751
45,4,6,0.0
45,5,6,5.606795310974121
45,6,6,0.0
45,7,6,10.328986167907715
45,8,6,5.252635955810547
45,9,6,5.225655555725098
45,10,6,11.199166297912598
45,11,6,11.31527042388916
45,12,6,11.443936347961426
46,1,9,7.285431385040283
46,2,9,7.8011322021484375
46,3,9,8.171706199645996
46,4,9,8.507761001586914
46,5,9,0.0
46,6,9,0.0
46,7,9,0.0
46,8,9,0.0
46,9,9,0.0
46,10,9,4.676830768585205
46,11,9,7.148983001708984
46,12,9,9.786072731018066
47,1,,0.0
47,2,,4.0599684715271
47,3,,5.082494258880615
47,4,,7.1207780838012695
47,5,,7.288901329040527
47,6,,6.41465950012207
47,7,,6.253339767456055
47,8,,5.779757976531982
47,9,,4.026261329650879
47,10,,2.3684327602386475
47,11,,6.596757888793945
47,12,,3.526360511779785
48,1,,0.0
48,2,,8.663403511047363
48,3,,10.94572925567627
48,4,,10.622834205627441
48,5,,10.48905086517334
48,6,,8.480484008789062
48,7,,10.341516494750977
48,8,,9.590909957885742
48,9,,6.660984992980957
48,10,,7.278286933898926
48,11,,8.056333541870117
48,12,,7.008387565612793
49,1,12,6.0134196281433105
49,2,12,4.187280178070068
49,3,12,7.916565418243408
49,4,12,8.0066499710083
49,5,12,7.810638427734375
49,6,12,0.2443726807832718
49,7,12,10.302813529968262
49,8,12,5.136823654174805
49,9,12,8.101364135742188
49,10,12,8.800034523010254
49,11,12,8.458827018737793
